Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0043,414654,41447.5775
fileio,seqwr,,10.0046,433354,43315.4748
fileio,seqwr,,10.0054,420627,42039.9984
fileio,seqwr,,10.0037,420425,42026.9500
fileio,seqwr,,10.0043,383861,38369.6010
fileio,rndwr,,10.0052,294319,29416.6033
fileio,rndwr,,10.0035,281803,28170.4403
fileio,rndwr,,10.0070,289213,28901.0692
fileio,rndwr,,10.0048,262849,26272.2893
fileio,rndwr,,10.0086,273473,27323.8015
fileio,rndrw,,10.0051,387262,38706.4597
fileio,rndrw,,10.0073,331179,33093.7415
fileio,rndrw,,10.0036,354538,35441.0412
fileio,rndrw,,10.0053,377900,37769.9819
fileio,rndrw,,10.0048,379266,37908.4039
fileio,rndrw,,10.0041,343798,34365.7100
