Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,rndwr,,10.0141,127333,12715.3713
fileio,rndwr,,10.0077,125374,12527.7536
fileio,rndwr,,10.0070,121733,12164.7846
fileio,rndwr,,10.0096,121090,12097.3865
fileio,rndwr,,10.0108,128086,12794.7816
fileio,rndwr,,10.0117,121225,12108.3332
fileio,rndrw,,10.0083,147108,14698.6001
fileio,rndrw,,10.0086,149444,14931.5588
fileio,rndrw,,10.0104,150565,15040.8575
fileio,rndrw,,10.0090,141722,14159.4564
fileio,rndrw,,10.0099,149705,14955.6938
fileio,seqwr,,10.0108,157260,15709.0342
fileio,seqwr,,10.0054,146802,14672.2769
fileio,seqwr,,10.0148,154288,15405.9991
fileio,seqwr,,10.0089,149048,14891.5465
fileio,seqwr,,10.0157,147903,14767.1156
