Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0082,266013,26579.5048
fileio,seqwr,,10.0071,290426,29021.9943
fileio,seqwr,,10.0066,280204,28001.9187
fileio,seqwr,,10.0050,297930,29778.1109
fileio,seqwr,,10.0068,296129,29592.7769
fileio,rndwr,,10.0074,211338,21118.1725
fileio,rndwr,,10.0034,177382,17732.1710
fileio,rndwr,,10.0081,201892,20172.8599
fileio,rndwr,,10.0095,196478,19629.1523
fileio,rndwr,,10.0077,193543,19339.4086
fileio,rndrw,,10.0048,267599,26747.0614
fileio,rndrw,,10.0060,252835,25268.3389
fileio,rndrw,,10.0059,263293,26313.7748
fileio,rndrw,,10.0059,258202,25804.9750
fileio,rndrw,,10.0067,267621,26744.1813
