Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0087,284068,28382.1075
fileio,seqwr,,10.0065,293664,29347.3242
fileio,seqwr,,10.0076,289100,28888.0450
fileio,seqwr,,10.0085,283603,28336.2142
fileio,seqwr,,10.0073,270576,27037.8623
fileio,seqwr,,10.0078,266519,26631.1277
fileio,rndrw,,10.0062,265131,26496.6720
fileio,rndrw,,10.0061,260578,26041.9144
fileio,rndrw,,10.0068,258476,25830.0355
fileio,rndrw,,10.0039,230048,22995.8316
fileio,rndrw,,10.0080,267105,26689.1486
fileio,rndwr,,10.0062,197619,19749.6552
fileio,rndwr,,10.0077,173676,17354.2372
fileio,rndwr,,10.0064,186937,18681.7436
fileio,rndwr,,10.0081,187366,18721.4356
fileio,rndwr,,10.0080,188736,18858.5131
