Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0115,296318,29597.7625
fileio,seqwr,,10.0089,285873,28561.8799
fileio,seqwr,,10.0080,291711,29147.7817
fileio,seqwr,,10.0090,293662,29339.7941
fileio,seqwr,,10.0062,305853,30566.3488
fileio,rndwr,,10.0082,184412,18426.0906
fileio,rndwr,,10.0089,183351,18318.7962
fileio,rndwr,,10.0114,190939,19072.1577
fileio,rndwr,,10.0108,178417,17822.4517
fileio,rndwr,,10.0103,184802,18461.1849
fileio,rndrw,,10.0085,202554,20238.1975
fileio,rndrw,,10.0048,193736,19364.3051
fileio,rndrw,,10.0051,202140,20203.6961
fileio,rndrw,,10.0083,196212,19604.9279
fileio,rndrw,,10.0081,191855,19169.9723
